vertices;edges;max_edges;time;avg_time
100;2970;4950;78;0.0157576
200;11940;19900;1031;0.051809
300;26910;44850;4703;0.104861
400;47880;79800;12984;0.162707
500;74850;124750;34969;0.280313
600;107820;179700;60328;0.335715
700;146790;244650;112641;0.460417
800;191760;319600;184704;0.577922
900;242730;404550;290078;0.717039
