size;0.2;0.3;0.4;0.6;0.8;0.95;
100;0;16;32;47;62;78;
200;30;79;156;155;313;422;
300;156;188;311;547;906;1297;
400;280;421;625;1157;1969;2826;
500;375;703;1093;2188;3641;5328;
600;582;1095;1796;3672;6189;9234;
700;940;1687;2733;5717;9720;14405;
800;1250;2454;4031;8454;14421;21469;
900;1687;3389;5655;12030;20780;30203;
1000;2266;4578;7639;16345;27937;40889;
